# تعريب Kentum — الملابس والمعدّات
key	ar
EquipmentData_Torso_BoringShirt_Description	عادي وغير لافت، يذوب هذا القميص في أي حشد. ليس أن هناك حشودا باقية.
EquipmentData_Torso_HyperUnnoticeableTshirt_Name	قميص فائق الخفاء
EquipmentData_Torso_HyperUnnoticeableTshirt_Description	قميص فائق الخفاء.
EquipmentData_Torso_Bathrobe_Name	روب الحمام
EquipmentData_Torso_Bathrobe_Description	مثالي للتأمل العميق، أو لصباحات الكسل، أو للتظاهر بأنك ساحر متقاعد.
EquipmentData_Torso_AtlanticCoastShirt_Name	قميص ساحل الأطلسي
EquipmentData_Torso_AtlanticCoastShirt_Description	قميص خفيف منعش مستوحى من أمواج المحيط، مثالي للتنزه على الشاطئ.
EquipmentData_Torso_CasualEntrepreneur00_Name	ياقة رجل الأعمال
EquipmentData_Torso_CasualEntrepreneur00_Description	ياقة عالية لرجل أعمال.
EquipmentData_Torso_CasualEntrepreneur01_Name	ياقة رجل الأعمال — نسخة أخرى
EquipmentData_Torso_CasualEntrepreneur01_Description	نسخة أخرى من ياقة رجل الأعمال.
EquipmentData_Torso_Spring_Name	أناقة رائد الفضاء الربيعية
EquipmentData_Torso_Spring_Description	الإطلالة اليومية لجواب الفضاء. أنيقة، حتى في انعدام الجاذبية.
EquipmentData_Torso_Summer_Name	إطلالة الصيف المعقودة
EquipmentData_Torso_Summer_Description	قميص أبيض بسيط مع سترة معقودة حول الخصر بلا تكلف، لأجواء مشمسة مسترخية.
EquipmentData_Torso_Autumn_Name	سترة نسيم الخريف
EquipmentData_Torso_Autumn_Description	سترة دافئة مع وشاح صغير أنيق — تماما كما تليق بأيام الخريف المنعشة.
EquipmentData_Torso_Winter_Name	معطف حصن الشتاء
EquipmentData_Torso_Winter_Description	معطف سميك معزول يكمله وشاح كبير دافئ لمواجهة البرد براحة.
EquipmentData_Torso_Skeleton_Name	هيكل عظمي
EquipmentData_Torso_Skeleton_Description	هيكل عظمي
EquipmentData_Torso_Intro_Name	المقدمة
EquipmentData_Torso_Intro_Description	معدات المقدمة، لا ينبغي أن تظهر داخل اللعبة

# ── الساقان ──
EquipmentData_Legs_SpaceExplorer_Name	سروال مستكشف الفضاء
EquipmentData_Legs_SpaceExplorer_Description	سروال مستكشف فضاء
EquipmentData_Legs_AstronautPants_Name	سروال رائد الفضاء
EquipmentData_Legs_AstronautPants_Description	سروال قياسي لمستكشفي الكون. متين وموثوق ومريح على نحو مفاجئ.
EquipmentData_Legs_SecondPlayer_Name	سروال رائد الفضاء الأزرق
EquipmentData_Legs_CasualEntrepreneur_Name	جينز أزرق
EquipmentData_Legs_CasualEntrepreneur_Description	كل ما في الأمر أنه كلاسيكي.
EquipmentData_Legs_ShortJeans_Name	جينز أزرق قصير
EquipmentData_Legs_ShortJeans_Description	نسخة أكثر راحة من الكلاسيكي. مثالي للصيف.
EquipmentData_Legs_AtlanticCoastShorts_00_Name	شورت سباحة ساحل الأطلسي
EquipmentData_Legs_AtlanticCoastShorts_00_Description	شورت سباحة مريح وخفيف بتصميم لافت.
EquipmentData_Legs_AtlanticCoastShorts_01_Name	شورت سباحة المشاعر المتموجة
EquipmentData_Legs_AtlanticCoastShorts_01_Description	شورت سباحة مريح وخفيف بتصميم متموج كأمواج المحيط.
EquipmentData_Legs_AtlanticCoastShorts_02_Name	شورت سباحة البحر الهادئ
EquipmentData_Legs_AtlanticCoastShorts_02_Description	شورت سباحة مريح وخفيف، محتشم بقدر ما هو أنيق.
EquipmentData_Legs_PlasticSwimShort_Name	شورت سباحة شفاف
EquipmentData_Legs_PlasticSwimShort_Description	شورت سباحة مريح وخفيف... وربما خفيف أكثر من اللازم.
EquipmentData_Legs_Slippers_Name	خف وثير
EquipmentData_Legs_Slippers_Description	ليس أحمر ياقوتيا، فلا تتوقع أن يعيدك إلى الديار أسرع. لكنه مريح على أي حال.
EquipmentData_Legs_Skeleton_Name	ساقا هيكل عظمي
EquipmentData_Legs_Skeleton_Description	ساقان
